ID,가격
TEST_00000,95.07761450906042
TEST_00001,26.878652205470694
TEST_00002,83.97892288662713
TEST_00003,126.90240977056332
TEST_00004,47.881747897320864
TEST_00005,46.66816165599537
TEST_00006,68.99438099297775
TEST_00007,50.200684201231745
TEST_00008,50.729012400625656
TEST_00009,22.851268894851337
TEST_00010,21.958792879856876
TEST_00011,6.902369849805794
TEST_00012,49.64642937707888
TEST_00013,36.49108356180904
TEST_00014,25.16716338525664
TEST_00015,68.7848131340247
TEST_00016,13.218548931124182
TEST_00017,128.70388906527393
TEST_00018,20.966339480642567
TEST_00019,44.980938798141345
TEST_00020,59.61795687603205
TEST_00021,33.75922449005668
TEST_00022,116.1354708671309
TEST_00023,121.06180736319499
TEST_00024,105.76326223412806
TEST_00025,49.093906019066225
TEST_00026,26.53295530441221
TEST_00027,52.11013943413553
TEST_00028,34.06947219012061
TEST_00029,91.1964129387942
TEST_00030,116.20051289295581
TEST_00031,92.48312995169309
TEST_00032,29.000915288602712
TEST_00033,18.121588777141568
TEST_00034,25.224111757947387
TEST_00035,71.75023348011469
TEST_00036,29.012506995220853
TEST_00037,31.03282307681805
TEST_00038,28.469108452921617
TEST_00039,51.85504753426824
TEST_00040,62.01552723331745
TEST_00041,75.79722090841294
TEST_00042,9.284294703226415
TEST_00043,90.59390352260095
TEST_00044,49.2569632838609
TEST_00045,107.92929763731618
TEST_00046,51.76693150012713
TEST_00047,122.01215392089188
TEST_00048,114.82741785552528
TEST_00049,23.18559014317015
TEST_00050,18.08374259296213
TEST_00051,42.67288008578223
TEST_00052,24.65909111229362
TEST_00053,38.40274696108805
TEST_00054,35.24257043011892
TEST_00055,31.488552172280208
TEST_00056,89.32248794408588
TEST_00057,7.36034543503726
TEST_00058,114.23822684628534
TEST_00059,51.53946366408376
TEST_00060,35.115111416247615
TEST_00061,101.39066097696653
TEST_00062,20.597404822708633
TEST_00063,5.49653249321338
TEST_00064,60.36463194949613
TEST_00065,46.42192727637964
TEST_00066,38.86906852735082
TEST_00067,9.50189444900166
TEST_00068,65.17806388498964
TEST_00069,149.32569298331083
TEST_00070,120.85096798577372
TEST_00071,44.92181767287441
TEST_00072,76.93834344971236
TEST_00073,25.26463651189455
TEST_00074,23.875102877978694
TEST_00075,111.08406806306027
TEST_00076,15.25328383817454
TEST_00077,111.24943110565243
TEST_00078,29.595788181143075
TEST_00079,26.148245486685433
TEST_00080,14.71051417949565
TEST_00081,89.88626680291961
TEST_00082,100.7219538261163
TEST_00083,18.77736168804987
TEST_00084,27.778855322219794
TEST_00085,48.09739289246703
TEST_00086,39.74835537442845
TEST_00087,39.79336426032669
TEST_00088,27.06653567682067
TEST_00089,32.17563972411805
TEST_00090,24.117447243481887
TEST_00091,25.79813496609897
TEST_00092,36.71057826646424
TEST_00093,7.562724746796789
TEST_00094,34.698516896915564
TEST_00095,77.27571178599473
TEST_00096,7.001963248382054
TEST_00097,50.42083750607103
TEST_00098,25.87314249194819
